id;start_date;end_date;language
1;2020-04-28T05:12:00;2020-04-28T03:02:15;SPANISH
2;2020-04-27T10:02:11;2020-04-28T05:06:36;SPANISH
3;2020-04-28T00:57:30;2020-04-27T11:31:39;FRENCH
4;2020-04-27T16:15:01;2020-04-28T03:46:27;FRENCH
5;2020-04-28T01:45:19;2020-04-28T06:32:18;FRENCH
6;2020-04-27T19:37:40;2020-04-28T07:45:54;FRENCH
7;2020-04-27T21:23:00;2020-04-27T15:13:51;FRENCH
8;2020-04-27T20:19:13;2020-04-28T06:35:21;SPANISH
9;2020-04-27T19:00:22;2020-04-27T15:41:45;SPANISH
10;2020-04-28T03:12:26;2020-04-27T13:46:56;SPANISH
